"","p","n","optimalrates","optRho","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"1",20,100,"TPR",0.2,0.117647058823529,0.266666666666667,0.0714285714285714,0.130434782608696,0.137931034482759,0,0,0.0714285714285714,0.103448275862069,0.0625,0.0526315789473684,0.214285714285714,0.181818181818182,0.333333333333333,0.0833333333333333,0.304347826086957,0.0952380952380952,0,0.15,0.263157894736842,0.105263157894737,0.0833333333333333,0.142857142857143,0.105263157894737,0.172413793103448,0.176470588235294,0.0625,0.105263157894737,0.25,0.380952380952381,0.0454545454545455,0.210526315789474,0.117647058823529,0.1875,0,0.05,0,0.142857142857143,0.210526315789474,0.142857142857143,0.133333333333333,0.0689655172413793,0.208333333333333,0.1875,0.0526315789473684,0.142857142857143,0.0434782608695652,0.2,0.15,0.130434782608696
"2",20,100,"FPR",0.2,0.046242774566474,0.0342857142857143,0.0397727272727273,0.029940119760479,0.0434782608695652,0.036144578313253,0.0170454545454545,0.0397727272727273,0.0559006211180124,0.0574712643678161,0.0584795321637427,0.0795454545454545,0.0654761904761905,0.0348837209302326,0.0449438202247191,0.0958083832335329,0.0591715976331361,0.0529411764705882,0.0705882352941176,0.0350877192982456,0.0526315789473684,0.0240963855421687,0.0650887573964497,0.0467836257309941,0.031055900621118,0.069364161849711,0.0574712643678161,0.0350877192982456,0.0517241379310345,0.0473372781065089,0.0654761904761905,0.0233918128654971,0.0520231213872832,0.0344827586206897,0.0523255813953488,0.0352941176470588,0.046242774566474,0.0795454545454545,0.064327485380117,0.0532544378698225,0.0285714285714286,0.0434782608695652,0.036144578313253,0.0689655172413793,0.0760233918128655,0.0511363636363636,0.0479041916167665,0.0444444444444444,0.0588235294117647,0.0479041916167665
"3",20,1000,"TPR",0.05,0.791666666666667,0.875,0.736842105263158,0.875,0.833333333333333,0.888888888888889,0.9,0.928571428571429,0.782608695652174,0.875,0.952380952380952,0.91304347826087,0.944444444444444,0.842105263157895,0.857142857142857,0.842105263157895,0.888888888888889,0.909090909090909,0.75,0.875,0.833333333333333,0.95,0.684210526315789,0.933333333333333,0.85,0.9,0.846153846153846,0.866666666666667,0.95,0.772727272727273,0.851851851851852,0.884615384615385,0.76,0.842105263157895,0.95,0.875,0.821428571428571,0.888888888888889,0.85,0.826086956521739,0.947368421052632,0.894736842105263,0.869565217391304,0.777777777777778,0.916666666666667,0.684210526315789,1,0.894736842105263,0.875,0.875
"4",20,1000,"FPR",0.05,0.114457831325301,0.17816091954023,0.111111111111111,0.192771084337349,0.127906976744186,0.104651162790698,0.1,0.0965909090909091,0.173652694610778,0.115384615384615,0.159763313609467,0.107784431137725,0.156976744186047,0.128654970760234,0.100591715976331,0.116959064327485,0.0988372093023256,0.119047619047619,0.174698795180723,0.149425287356322,0.11046511627907,0.129411764705882,0.111111111111111,0.0857142857142857,0.0882352941176471,0.147058823529412,0.101694915254237,0.114285714285714,0.0882352941176471,0.130952380952381,0.202453987730061,0.146341463414634,0.127272727272727,0.105263157894737,0.158823529411765,0.132183908045977,0.0864197530864197,0.127906976744186,0.158823529411765,0.0718562874251497,0.140350877192982,0.116959064327485,0.0958083832335329,0.122093023255814,0.0842696629213483,0.116959064327485,0.104046242774566,0.105263157894737,0.120689655172414,0.0862068965517241
"5",20,10000,"TPR",0.0133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6",20,10000,"FPR",0.0133,0.190751445086705,0.168674698795181,0.172413793103448,0.19774011299435,0.160493827160494,0.184971098265896,0.211428571428571,0.15606936416185,0.181286549707602,0.142045454545455,0.267080745341615,0.176136363636364,0.141176470588235,0.182926829268293,0.15606936416185,0.172619047619048,0.151162790697674,0.168604651162791,0.152941176470588,0.194117647058824,0.165680473372781,0.129213483146067,0.187134502923977,0.121387283236994,0.149425287356322,0.165714285714286,0.151162790697674,0.143712574850299,0.2,0.170588235294118,0.217142857142857,0.121387283236994,0.172413793103448,0.166666666666667,0.231707317073171,0.151515151515152,0.144508670520231,0.168539325842697,0.169590643274854,0.260355029585799,0.197530864197531,0.223529411764706,0.175438596491228,0.18452380952381,0.182857142857143,0.194117647058824,0.2,0.2,0.192771084337349,0.183431952662722
"7",50,100,"TPR",0.2293,0.0902777777777778,0.121212121212121,0.107142857142857,0.0520833333333333,0.076271186440678,0.0810810810810811,0.0916030534351145,0.0673076923076923,0.0546875,0.113475177304965,0.134453781512605,0.0518518518518519,0.0763358778625954,0.12396694214876,0.0672268907563025,0.075,0.11965811965812,0.129032258064516,0.0928571428571429,0.092436974789916,0.0909090909090909,0.115702479338843,0.0504201680672269,0.096,0.0840336134453782,0.0625,0.0780141843971631,0.0703125,0.0650406504065041,0.0833333333333333,0.0604026845637584,0.0508474576271186,0.0895522388059701,0.0851063829787234,0.108843537414966,0.0869565217391304,0.123893805309735,0.0847457627118644,0.101694915254237,0.0833333333333333,0.09375,0.0725806451612903,0.103174603174603,0.0731707317073171,0.0895522388059701,0.0769230769230769,0.12396694214876,0.0956521739130435,0.111111111111111,0.0693069306930693
"8",50,100,"FPR",0.2293,0.0240518038852914,0.0293072824156306,0.0211981566820276,0.024800708591674,0.023486901535682,0.0296229802513465,0.0255941499085923,0.0223015165031222,0.03281677301732,0.029520295202952,0.0343580470162749,0.0201834862385321,0.0393053016453382,0.0371376811594203,0.0370705244122966,0.0262443438914027,0.0397111913357401,0.0408719346049046,0.0313364055299539,0.0280289330922242,0.0274473924977127,0.0280797101449275,0.0316455696202532,0.03,0.0216998191681736,0.0278526504941599,0.03690036900369,0.0237010027347311,0.0254083484573503,0.0277529095792301,0.0297397769516729,0.02710027100271,0.0293308890925756,0.0239852398523985,0.0306122448979592,0.0207207207207207,0.0224820143884892,0.02710027100271,0.024390243902439,0.0244343891402715,0.0309936189608022,0.0227066303360581,0.0318471337579618,0.0317604355716878,0.0357470210815765,0.0370036101083032,0.0244565217391304,0.0324324324324324,0.0288808664259928,0.0275800711743772
"9",50,1000,"TPR",0.0575,0.826086956521739,0.858333333333333,0.876811594202899,0.850467289719626,0.781818181818182,0.828828828828829,0.851239669421488,0.801470588235294,0.816,0.846774193548387,0.841269841269841,0.824817518248175,0.852173913043478,0.798319327731092,0.858333333333333,0.839416058394161,0.808695652173913,0.805555555555556,0.785046728971963,0.805309734513274,0.831932773109244,0.832116788321168,0.84,0.804347826086957,0.791304347826087,0.862068965517241,0.720338983050847,0.821428571428571,0.82051282051282,0.782608695652174,0.821138211382114,0.810344827586207,0.830508474576271,0.84,0.818181818181818,0.777777777777778,0.762962962962963,0.850877192982456,0.815126050420168,0.82258064516129,0.790697674418605,0.834782608695652,0.75,0.766917293233083,0.739837398373984,0.803738317757009,0.866071428571429,0.816176470588235,0.898305084745763,0.80952380952381
"10",50,1000,"FPR",0.0575,0.0837837837837838,0.0841628959276018,0.0919963201471941,0.0805008944543828,0.0932735426008969,0.0843806104129264,0.0751811594202899,0.0835629017447199,0.0763636363636364,0.0790190735694823,0.0828025477707006,0.0900735294117647,0.0891891891891892,0.0732368896925859,0.0705882352941176,0.0891544117647059,0.0783783783783784,0.0752014324082363,0.075134168157424,0.0845323741007194,0.0732368896925859,0.0762867647058824,0.0736363636363636,0.0791168353265869,0.0783783783783784,0.0721370604147881,0.0695573622402891,0.0988319856244385,0.0794223826714801,0.0792792792792793,0.0716878402903811,0.0784490532010821,0.101174345076784,0.0863636363636364,0.0612991765782251,0.0715596330275229,0.0770642201834862,0.0729072907290729,0.0804701627486438,0.0835603996366939,0.072992700729927,0.0963963963963964,0.10064043915828,0.0906593406593407,0.100725952813067,0.0670840787119857,0.0934411500449236,0.0771349862258953,0.0749774164408311,0.0846223839854413
"11",50,10000,"TPR",0.0142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12",50,10000,"FPR",0.0142,0.188919164396004,0.146230699364214,0.163800904977376,0.164884135472371,0.147244805781391,0.176255707762557,0.180237877401647,0.169553327256153,0.182481751824818,0.157894736842105,0.155656108597285,0.165770609318996,0.177737881508079,0.188486536675952,0.187613843351548,0.174147217235189,0.167724388032638,0.172694394213382,0.186823104693141,0.18783542039356,0.174111212397448,0.184944237918216,0.179372197309417,0.169794459338695,0.177158273381295,0.164705882352941,0.173674588665448,0.157942238267148,0.169340463458111,0.176156583629893,0.171428571428571,0.164835164835165,0.162284678150499,0.171195652173913,0.169658886894075,0.176632934682613,0.195652173913043,0.186346863468635,0.171581769436997,0.171376481312671,0.185792349726776,0.173674588665448,0.171428571428571,0.182238667900092,0.162488393686165,0.165304268846503,0.180909090909091,0.171846435100548,0.164111812443643,0.170955882352941
"13",100,1000,"TPR",0.0596,0.825742574257426,0.806576402321083,0.853763440860215,0.827586206896552,0.817444219066937,0.82089552238806,0.835365853658537,0.802020202020202,0.822355289421158,0.841784989858012,0.788954635108481,0.81875,0.874226804123711,0.833659491193738,0.825049701789264,0.811203319502075,0.85171102661597,0.822894168466523,0.809012875536481,0.854616895874263,0.781496062992126,0.845511482254697,0.829659318637275,0.849173553719008,0.830374753451677,0.817269076305221,0.822265625,0.792291220556745,0.838264299802761,0.80943025540275,0.803312629399586,0.802997858672377,0.835793357933579,0.824949698189135,0.793650793650794,0.853118712273642,0.814410480349345,0.816161616161616,0.86692759295499,0.823045267489712,0.830985915492958,0.81888246628131,0.824,0.834990059642147,0.808641975308642,0.825301204819277,0.824267782426778,0.834016393442623,0.838323353293413,0.842
