"","p","n","optimalrates","optRho","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"1",20,100,"TPR",0.1692,0.214285714285714,0.285714285714286,0.285714285714286,0.230769230769231,0.173913043478261,0.0555555555555556,0.285714285714286,0.157894736842105,0.214285714285714,0.0555555555555556,0.105263157894737,0.2,0.148148148148148,0.25,0.2,0.181818181818182,0.35,0.1,0.3125,0.285714285714286,0.263157894736842,0.294117647058824,0.4,0.333333333333333,0.0952380952380952,0.25,0.0625,0.318181818181818,0.0909090909090909,0.214285714285714,0.285714285714286,0.275862068965517,0.153846153846154,0.2,0.222222222222222,0.2,0.2,0.266666666666667,0.181818181818182,0.25,0.157894736842105,0.272727272727273,0.176470588235294,0.2,0.166666666666667,0.227272727272727,0.235294117647059,0.277777777777778,0.230769230769231,0.2
"2",20,100,"FPR",0.1692,0.0740740740740741,0.0909090909090909,0.0568181818181818,0.0487804878048781,0.0538922155688623,0.063953488372093,0.113636363636364,0.116959064327485,0.0864197530864197,0.0988372093023256,0.087719298245614,0.103030303030303,0.049079754601227,0.0882352941176471,0.06875,0.106145251396648,0.111764705882353,0.0705882352941176,0.0747126436781609,0.136094674556213,0.111111111111111,0.179190751445087,0.129411764705882,0.0930232558139535,0.100591715976331,0.0689655172413793,0.0459770114942529,0.0892857142857143,0.0837988826815642,0.0795454545454545,0.102272727272727,0.136645962732919,0.0792682926829268,0.0545454545454545,0.145348837209302,0.111111111111111,0.127272727272727,0.0857142857142857,0.113095238095238,0.141176470588235,0.0760233918128655,0.128491620111732,0.115606936416185,0.108571428571429,0.0755813953488372,0.125,0.069364161849711,0.0813953488372093,0.0790960451977401,0.111764705882353
"3",20,1000,"TPR",0.0415,0.904761904761905,0.9,0.875,0.9,1,1,0.9375,0.947368421052632,1,0.956521739130435,0.894736842105263,0.928571428571429,0.875,0.96875,0.909090909090909,0.947368421052632,0.857142857142857,0.888888888888889,1,0.947368421052632,0.869565217391304,0.85,0.857142857142857,0.875,0.904761904761905,0.9,0.91304347826087,0.882352941176471,0.894736842105263,1,0.8,0.9375,0.933333333333333,0.866666666666667,0.9,0.896551724137931,0.761904761904762,0.9375,1,0.909090909090909,1,0.923076923076923,0.8125,0.941176470588235,0.9375,0.958333333333333,0.904761904761905,0.952380952380952,1,1
"4",20,1000,"FPR",0.04154,0.183431952662722,0.2,0.166666666666667,0.194117647058824,0.182857142857143,0.224719101123595,0.241379310344828,0.192982456140351,0.18452380952381,0.155688622754491,0.228070175438596,0.215909090909091,0.229885057471264,0.183544303797468,0.139664804469274,0.216374269005848,0.195266272189349,0.151162790697674,0.227777777777778,0.228070175438596,0.215568862275449,0.164705882352941,0.215909090909091,0.206896551724138,0.201183431952663,0.170588235294118,0.161676646706587,0.190751445086705,0.157894736842105,0.218390804597701,0.148571428571429,0.172413793103448,0.171428571428571,0.228571428571429,0.194444444444444,0.192546583850932,0.177514792899408,0.189655172413793,0.205882352941176,0.212290502793296,0.206896551724138,0.109756097560976,0.183908045977011,0.184971098265896,0.160919540229885,0.240963855421687,0.207100591715976,0.189349112426035,0.170588235294118,0.195530726256983
"5",20,10000,"TPR",0.01154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6",20,10000,"FPR",0.01154,0.281609195402299,0.288888888888889,0.222857142857143,0.252873563218391,0.317647058823529,0.248520710059172,0.28,0.323863636363636,0.255681818181818,0.284090909090909,0.244186046511628,0.258823529411765,0.242774566473988,0.239766081871345,0.220238095238095,0.224719101123595,0.216867469879518,0.218390804597701,0.25,0.214285714285714,0.265895953757225,0.301136363636364,0.23728813559322,0.220238095238095,0.273809523809524,0.195266272189349,0.246987951807229,0.238372093023256,0.25,0.228070175438596,0.270114942528736,0.269662921348315,0.232558139534884,0.27906976744186,0.248554913294798,0.235294117647059,0.238636363636364,0.28735632183908,0.204545454545455,0.319277108433735,0.29940119760479,0.252941176470588,0.263473053892216,0.22093023255814,0.254437869822485,0.265536723163842,0.202380952380952,0.278787878787879,0.215116279069767,0.247058823529412
"7",50,100,"TPR",0.2054,0.0650406504065041,0.114754098360656,0.145454545454545,0.094488188976378,0.142857142857143,0.108695652173913,0.11965811965812,0.129032258064516,0.178294573643411,0.126760563380282,0.1,0.102189781021898,0.181034482758621,0.075,0.075,0.133928571428571,0.108333333333333,0.146551724137931,0.123188405797101,0.144927536231884,0.130081300813008,0.154545454545455,0.132231404958678,0.144230769230769,0.113821138211382,0.141732283464567,0.132231404958678,0.05,0.176470588235294,0.0769230769230769,0.169491525423729,0.14018691588785,0.1328125,0.150793650793651,0.0610687022900763,0.133858267716535,0.107692307692308,0.130769230769231,0.15,0.112903225806452,0.142857142857143,0.148148148148148,0.12621359223301,0.132075471698113,0.0952380952380952,0.113636363636364,0.1875,0.121739130434783,0.133333333333333,0.157894736842105
"8",50,100,"FPR",0.2054,0.0372050816696915,0.057116953762466,0.0681614349775785,0.0610200364298725,0.0524412296564195,0.0386384544618215,0.0694945848375451,0.0399636693914623,0.0483576642335766,0.0572483841181902,0.0443438914027149,0.0441176470588235,0.0640216411181244,0.053393665158371,0.0606334841628959,0.0467205750224618,0.048868778280543,0.0477908025247971,0.0570377184912604,0.0533578656853726,0.0471869328493648,0.0502242152466368,0.0670289855072464,0.0553077609277431,0.0499092558983666,0.0382513661202186,0.0516304347826087,0.0398190045248869,0.054178145087236,0.0514440433212996,0.0587172538392051,0.0402504472271914,0.0401093892433911,0.0445859872611465,0.0457038391224863,0.0482695810564663,0.0557077625570776,0.0575342465753425,0.0416289592760181,0.0499545867393279,0.0485175202156334,0.0385321100917431,0.0383244206773619,0.0384271671134942,0.0300272975432211,0.0356816102470265,0.0619872379216044,0.0513513513513514,0.0522935779816514,0.0723443223443224
"9",50,1000,"TPR",0.0465,0.956896551724138,0.890756302521008,0.911504424778761,0.905511811023622,0.953703703703704,0.923076923076923,0.852459016393443,0.869230769230769,0.813008130081301,0.871794871794872,0.912698412698413,0.835820895522388,0.915094339622642,0.916666666666667,0.883928571428571,0.915254237288136,0.837606837606838,0.934959349593496,0.89922480620155,0.872,0.903225806451613,0.9,0.869158878504673,0.860294117647059,0.912280701754386,0.950413223140496,0.917355371900826,0.905172413793103,0.876106194690266,0.866141732283465,0.864661654135338,0.910569105691057,0.864661654135338,0.9296875,0.870689655172414,0.823529411764706,0.869565217391304,0.879699248120301,0.894736842105263,0.9375,0.877551020408163,0.908396946564885,0.919117647058823,0.852173913043478,0.9140625,0.932330827067669,0.891472868217054,0.830357142857143,0.880434782608696,0.881818181818182
"10",50,1000,"FPR",0.0465,0.159603246167719,0.161844484629295,0.16636690647482,0.15391621129326,0.173679498657117,0.15884476534296,0.14959202175884,0.149771689497717,0.147005444646098,0.15884476534296,0.166515013648772,0.173235563703025,0.15638963360143,0.183710407239819,0.155435759209344,0.122854561878952,0.173285198555957,0.156079854809437,0.146897810218978,0.154545454545455,0.141689373297003,0.155656108597285,0.152951699463327,0.161616161616162,0.151215121512151,0.169384057971014,0.164855072463768,0.155094679891794,0.14658273381295,0.153005464480874,0.131868131868132,0.17059891107078,0.156593406593407,0.182315405651778,0.143372407574391,0.14376130198915,0.144144144144144,0.16025641025641,0.155715571557156,0.175022789425706,0.157699443413729,0.1672760511883,0.160697887970615,0.169369369369369,0.163172288058341,0.172161172161172,0.152372262773723,0.162623539982031,0.135039717563989,0.158744394618834
