"","rate","type"
"1",1,"TPR"
"2",1,"TPR"
"3",1,"TPR"
"4",1,"TPR"
"5",1,"TPR"
"6",1,"TPR"
"7",1,"TPR"
"8",1,"TPR"
"9",1,"TPR"
"10",1,"TPR"
"11",1,"TPR"
"12",1,"TPR"
"13",1,"TPR"
"14",1,"TPR"
"15",1,"TPR"
"16",1,"TPR"
"17",1,"TPR"
"18",1,"TPR"
"19",1,"TPR"
"20",1,"TPR"
"21",1,"TPR"
"22",1,"TPR"
"23",1,"TPR"
"24",1,"TPR"
"25",1,"TPR"
"26",1,"TPR"
"27",1,"TPR"
"28",1,"TPR"
"29",1,"TPR"
"30",1,"TPR"
"31",1,"TPR"
"32",1,"TPR"
"33",1,"TPR"
"34",1,"TPR"
"35",1,"TPR"
"36",1,"TPR"
"37",1,"TPR"
"38",1,"TPR"
"39",1,"TPR"
"40",1,"TPR"
"41",1,"TPR"
"42",1,"TPR"
"43",1,"TPR"
"44",1,"TPR"
"45",1,"TPR"
"46",1,"TPR"
"47",1,"TPR"
"48",1,"TPR"
"49",1,"TPR"
"50",1,"TPR"
"51",0.236686390532544,"FPR"
"52",0.248520710059172,"FPR"
"53",0.248520710059172,"FPR"
"54",0.277456647398844,"FPR"
"55",0.284883720930233,"FPR"
"56",0.23121387283237,"FPR"
"57",0.264367816091954,"FPR"
"58",0.25,"FPR"
"59",0.280701754385965,"FPR"
"60",0.311764705882353,"FPR"
"61",0.265895953757225,"FPR"
"62",0.210526315789474,"FPR"
"63",0.272151898734177,"FPR"
"64",0.216867469879518,"FPR"
"65",0.305882352941176,"FPR"
"66",0.293413173652695,"FPR"
"67",0.224137931034483,"FPR"
"68",0.298850574712644,"FPR"
"69",0.254237288135593,"FPR"
"70",0.282208588957055,"FPR"
"71",0.293413173652695,"FPR"
"72",0.235955056179775,"FPR"
"73",0.223529411764706,"FPR"
"74",0.201149425287356,"FPR"
"75",0.233532934131737,"FPR"
"76",0.235632183908046,"FPR"
"77",0.238095238095238,"FPR"
"78",0.205714285714286,"FPR"
"79",0.293785310734463,"FPR"
"80",0.238095238095238,"FPR"
"81",0.308571428571429,"FPR"
"82",0.31547619047619,"FPR"
"83",0.294117647058824,"FPR"
"84",0.25,"FPR"
"85",0.352201257861635,"FPR"
"86",0.215116279069767,"FPR"
"87",0.312138728323699,"FPR"
"88",0.255813953488372,"FPR"
"89",0.245714285714286,"FPR"
"90",0.18452380952381,"FPR"
"91",0.279761904761905,"FPR"
"92",0.37125748502994,"FPR"
"93",0.227544910179641,"FPR"
"94",0.293413173652695,"FPR"
"95",0.284883720930233,"FPR"
"96",0.241176470588235,"FPR"
"97",0.222857142857143,"FPR"
"98",0.313609467455621,"FPR"
"99",0.239766081871345,"FPR"
"100",0.25,"FPR"
"101",0.210526315789474,"MCE"
"102",0.221052631578947,"MCE"
"103",0.221052631578947,"MCE"
"104",0.252631578947368,"MCE"
"105",0.257894736842105,"MCE"
"106",0.210526315789474,"MCE"
"107",0.242105263157895,"MCE"
"108",0.226315789473684,"MCE"
"109",0.252631578947368,"MCE"
"110",0.278947368421053,"MCE"
"111",0.242105263157895,"MCE"
"112",0.189473684210526,"MCE"
"113",0.226315789473684,"MCE"
"114",0.189473684210526,"MCE"
"115",0.273684210526316,"MCE"
"116",0.257894736842105,"MCE"
"117",0.205263157894737,"MCE"
"118",0.273684210526316,"MCE"
"119",0.236842105263158,"MCE"
"120",0.242105263157895,"MCE"
"121",0.257894736842105,"MCE"
"122",0.221052631578947,"MCE"
"123",0.2,"MCE"
"124",0.184210526315789,"MCE"
"125",0.205263157894737,"MCE"
"126",0.215789473684211,"MCE"
"127",0.210526315789474,"MCE"
"128",0.189473684210526,"MCE"
"129",0.273684210526316,"MCE"
"130",0.210526315789474,"MCE"
"131",0.284210526315789,"MCE"
"132",0.278947368421053,"MCE"
"133",0.263157894736842,"MCE"
"134",0.221052631578947,"MCE"
"135",0.294736842105263,"MCE"
"136",0.194736842105263,"MCE"
"137",0.284210526315789,"MCE"
"138",0.231578947368421,"MCE"
"139",0.226315789473684,"MCE"
"140",0.163157894736842,"MCE"
"141",0.247368421052632,"MCE"
"142",0.326315789473684,"MCE"
"143",0.2,"MCE"
"144",0.257894736842105,"MCE"
"145",0.257894736842105,"MCE"
"146",0.215789473684211,"MCE"
"147",0.205263157894737,"MCE"
"148",0.278947368421053,"MCE"
"149",0.215789473684211,"MCE"
"150",0.231578947368421,"MCE"
