"","X20.100","X20.1000","X20.10000"
"1",0.174,0.04,0.013
"2",0.136,0.048,0.012
"3",0.155,0.044,0.01
"4",0.167,0.044,0.014
"5",0.186,0.039,0.012
"6",0.17,0.043,0.009
"7",0.147,0.039,0.013
"8",0.175,0.044,0.011
"9",0.176,0.048,0.011
"10",0.174,0.04,0.012
"11",0.163,0.052,0.013
"12",0.136,0.039,0.01
"13",0.161,0.043,0.012
"14",0.154,0.039,0.009
"15",0.11,0.04,0.012
"16",0.175,0.033,0.011
"17",0.184,0.033,0.012
"18",0.209,0.051,0.01
"19",0.161,0.04,0.011
"20",0.186,0.042,0.011
"21",0.162,0.04,0.01
"22",0.19,0.044,0.013
"23",0.171,0.043,0.012
"24",0.147,0.041,0.013
"25",0.177,0.048,0.013
"26",0.182,0.043,0.011
"27",0.218,0.045,0.012
"28",0.165,0.048,0.012
"29",0.171,0.035,0.015
"30",0.186,0.036,0.013
"31",0.156,0.043,0.011
"32",0.194,0.037,0.013
"33",0.148,0.04,0.013
"34",0.194,0.04,0.011
"35",0.178,0.04,0.012
"36",0.164,0.041,0.009
"37",0.18,0.045,0.011
"38",0.173,0.047,0.012
"39",0.185,0.041,0.014
"40",0.199,0.048,0.011
"41",0.19,0.043,0.012
"42",0.173,0.049,0.009
"43",0.2,0.045,0.01
"44",0.158,0.042,0.012
"45",0.156,0.036,0.013
"46",0.191,0.035,0.01
"47",0.16,0.045,0.012
"48",0.201,0.038,0.011
"49",0.167,0.032,0.011
"50",0.161,0.045,0.012
"51",0.156,0.043,0.011
"52",0.162,0.046,0.011
"53",0.165,0.053,0.011
"54",0.164,0.047,0.012
"55",0.156,0.039,0.012
"56",0.136,0.044,0.014
"57",0.168,0.037,0.01
"58",0.168,0.041,0.011
"59",0.156,0.043,0.012
"60",0.149,0.041,0.013
"61",0.171,0.044,0.011
"62",0.163,0.043,0.014
"63",0.199,0.035,0.011
"64",0.148,0.038,0.01
"65",0.168,0.047,0.01
"66",0.165,0.032,0.013
"67",0.186,0.037,0.01
"68",0.179,0.045,0.011
"69",0.2,0.038,0.011
"70",0.151,0.041,0.011
"71",0.185,0.044,0.011
"72",0.216,0.037,0.013
"73",0.179,0.042,0.009
"74",0.176,0.041,0.01
"75",0.171,0.041,0.012
"76",0.186,0.044,0.014
"77",0.156,0.044,0.011
"78",0.156,0.042,0.012
"79",0.152,0.052,0.01
"80",0.187,0.045,0.012
"81",0.153,0.04,0.01
"82",0.153,0.034,0.009
"83",0.174,0.046,0.012
"84",0.17,0.04,0.012
"85",0.17,0.045,0.011
"86",0.148,0.035,0.014
"87",0.132,0.041,0.012
"88",0.17,0.049,0.011
"89",0.155,0.035,0.012
"90",0.152,0.034,0.012
"91",0.15,0.05,0.011
"92",0.203,0.037,0.012
"93",0.195,0.041,0.009
"94",0.193,0.038,0.012
"95",0.159,0.036,0.012
"96",0.177,0.038,0.011
"97",0.166,0.038,0.011
"98",0.177,0.042,0.011
"99",0.124,0.038,0.013
"100",0.133,0.035,0.013
