"","X5.10","X5.100","X5.1000","X5.10000"
"1",0.297,0.178,0.044,0.016
"2",0.3,0.08,0.028,0.008
"3",0.3,0.089,0.034,0.012
"4",0.112,0.112,0.037,0.013
"5",0.179,0.083,0.032,0.007
"6",0.3,0.162,0.039,0.005
"7",0.3,0.038,0.019,0.009
"8",0.3,0.175,0.027,0.013
"9",0.3,0.106,0.037,0.011
"10",0.3,0.144,0.025,0.016
"11",0.3,0.127,0.013,0.01
"12",0.153,0.061,0.042,0.01
"13",0.3,0.125,0.037,0.006
"14",0.3,0.058,0.017,0.009
"15",0.186,0.162,0.015,0.013
"16",0.23,0.109,0.04,0.005
"17",0.134,0.076,0.049,0.008
"18",0.3,0.164,0.036,0.002
"19",0.3,0.136,0.023,0.006
"20",0.3,0.143,0.001,0.006
"21",0.285,0.095,0.043,0.01
"22",0.129,0.062,0.021,0.008
"23",0.204,0.114,0.025,0.009
"24",0.3,0.137,0.021,0.01
"25",0.3,0.098,0.034,0.014
"26",0.3,0.138,0.044,0.008
"27",0.3,0.16,0.033,0.008
"28",0.3,0.126,0.044,0.01
"29",0.147,0.123,0.017,0.01
"30",0.3,0.149,0.031,0.011
"31",0.3,0.066,0.017,0.006
"32",0.3,0.083,0.027,0.01
"33",0.3,0.158,0.027,0.009
"34",0.293,0.158,0.053,0.009
"35",0.256,0.146,0.032,0.008
"36",0.136,0.184,0.038,0.005
"37",0.3,0.192,0.018,0.006
"38",0.184,0.138,0.044,0.013
"39",0.3,0.175,0.026,0.005
"40",0.3,0.171,0.045,0.012
"41",0.3,0.122,0.024,0.012
"42",0.3,0.184,0.025,0.007
"43",0.3,0.18,0.048,0.012
"44",0.3,0.088,0.034,0.005
"45",0.3,0.094,0.032,0.01
"46",0.3,0.148,0.035,0.014
"47",0.3,0.132,0.015,0.006
"48",0.237,0.059,0.032,0.006
"49",0.3,0.135,0.013,0.01
"50",0.3,0.109,0.018,0.007
"51",0.3,0.137,0.032,0.006
"52",0.254,0.15,0.035,0.01
"53",0.3,0.139,0.03,0.007
"54",0.208,0.126,0.027,0.011
"55",0.3,0.092,0.04,0.006
"56",0.132,0.133,0.033,0.005
"57",0.3,0.07,0.053,0.011
"58",0.3,0.219,0.022,0.012
"59",0.3,0.101,0.043,0.006
"60",0.3,0.087,0.03,0.002
"61",0.27,0.116,0.027,0.009
"62",0.3,0.101,0.014,0.004
"63",0.16,0.086,0.02,0.008
"64",0.248,0.099,0.041,0.004
"65",0.3,0.255,0.042,0.009
"66",0.3,0.124,0.024,0.009
"67",0.3,0.149,0.036,0.01
"68",0.3,0.155,0.035,0.01
"69",0.3,0.087,0.026,0.005
"70",0.3,0.137,0.038,0.003
"71",0.105,0.14,0.015,0.011
"72",0.3,0.035,0.041,0.013
"73",0.3,0.12,0.035,0.004
"74",0.3,0.113,0.017,0.006
"75",0.3,0.024,0.031,0.015
"76",0.3,0.051,0.022,0.016
"77",0.265,0.166,0.045,0.005
"78",0.283,0.112,0.031,0.005
"79",0.3,0.109,0.045,0.002
"80",0.3,0.209,0.039,0.01
"81",0.3,0.185,0.032,0.009
"82",0.3,0.094,0.029,0.007
"83",0.3,0.172,0.056,0.008
"84",0.3,0.158,0.04,0.008
"85",0.3,0.111,0.027,0.006
"86",0.3,0.08,0.017,0.011
"87",0.3,0.077,0.027,0.009
"88",0.3,0.103,0.04,0.01
"89",0.132,0.107,0.027,0.009
"90",0.237,0.106,0.03,0.016
"91",0.3,0.104,0.029,0.009
"92",0.3,0.09,0.053,0.007
"93",0.3,0.122,0.026,0.01
"94",0.292,0.151,0.025,0.008
"95",0.3,0.133,0.039,0.009
"96",0.3,0.123,0.016,0.009
"97",0.3,0.091,0.019,0.008
"98",0.3,0.118,0.016,0.011
"99",0.298,0.127,0.024,0.009
"100",0.3,0.095,0.012,0.012
