"","X50.100","X50.1000","X50.10000"
"1",0.236,0.056,0.013
"2",0.207,0.053,0.014
"3",0.188,0.057,0.014
"4",0.248,0.056,0.014
"5",0.227,0.059,0.014
"6",0.224,0.056,0.014
"7",0.231,0.069,0.015
"8",0.258,0.059,0.014
"9",0.23,0.05,0.014
"10",0.194,0.055,0.015
"11",0.205,0.056,0.014
"12",0.227,0.054,0.016
"13",0.235,0.06,0.013
"14",0.254,0.067,0.015
"15",0.216,0.061,0.013
"16",0.227,0.057,0.015
"17",0.218,0.058,0.014
"18",0.241,0.049,0.012
"19",0.243,0.052,0.016
"20",0.257,0.061,0.014
"21",0.224,0.059,0.015
"22",0.225,0.056,0.015
"23",0.255,0.058,0.013
"24",0.236,0.064,0.013
"25",0.227,0.056,0.016
