"","p","n","optRho","variable","FPR","MCE","TPR","Estimated_E","method"
"1",20,100,0.1692,"V5",0.1,0.189473684210526,0.05,"E_3","loglikhood"
"2",20,100,0.1692,"V6",0.102272727272727,0.147368421052632,0.285714285714286,"E_3","loglikhood"
"3",20,100,0.1692,"V7",0.0578034682080925,0.110526315789474,0.352941176470588,"E_3","loglikhood"
"4",20,100,0.1692,"V8",0.0898203592814371,0.184210526315789,0.130434782608696,"E_3","loglikhood"
"5",20,100,0.1692,"V9",0.122093023255814,0.173684210526316,0.333333333333333,"E_3","loglikhood"
"6",20,100,0.1692,"V10",0.128491620111732,0.173684210526316,0.0909090909090909,"E_3","loglikhood"
"7",20,100,0.1692,"V11",0.124260355029586,0.2,0.19047619047619,"E_3","loglikhood"
"8",20,100,0.1692,"V12",0.0718562874251497,0.163157894736842,0.173913043478261,"E_3","loglikhood"
"9",20,100,0.1692,"V13",0.0581395348837209,0.115789473684211,0.333333333333333,"E_3","loglikhood"
"10",20,100,0.1692,"V14",0.119047619047619,0.215789473684211,0.0454545454545455,"E_3","loglikhood"
"11",20,100,0.1692,"V15",0.0755813953488372,0.142105263157895,0.222222222222222,"E_3","loglikhood"
"12",20,100,0.1692,"V16",0.0697674418604651,0.136842105263158,0.222222222222222,"E_3","loglikhood"
"13",20,100,0.1692,"V17",0.0958083832335329,0.173684210526316,0.260869565217391,"E_3","loglikhood"
"14",20,100,0.1692,"V18",0.0778443113772455,0.163157894736842,0.217391304347826,"E_3","loglikhood"
"15",20,100,0.1692,"V19",0.118343195266272,0.168421052631579,0.428571428571429,"E_3","loglikhood"
"16",20,100,0.1692,"V20",0.0681818181818182,0.126315789473684,0.142857142857143,"E_3","loglikhood"
"17",20,100,0.1692,"V21",0.156976744186047,0.221052631578947,0.166666666666667,"E_3","loglikhood"
"18",20,100,0.1692,"V22",0.107142857142857,0.189473684210526,0.181818181818182,"E_3","loglikhood"
"19",20,100,0.1692,"V23",0.118343195266272,0.205263157894737,0.0952380952380952,"E_3","loglikhood"
"20",20,100,0.1692,"V24",0.0574712643678161,0.126315789473684,0.125,"E_3","loglikhood"
"21",20,100,0.1692,"V25",0.117647058823529,0.2,0.1,"E_3","loglikhood"
"22",20,100,0.1692,"V26",0.107784431137725,0.194736842105263,0.173913043478261,"E_3","loglikhood"
"23",20,100,0.1692,"V27",0.0697674418604651,0.142105263157895,0.166666666666667,"E_3","loglikhood"
"24",20,100,0.1692,"V28",0.0786516853932584,0.126315789473684,0.166666666666667,"E_3","loglikhood"
"25",20,100,0.1692,"V29",0.0751445086705202,0.136842105263158,0.235294117647059,"E_3","loglikhood"
"26",20,100,0.1692,"V30",0.114942528735632,0.163157894736842,0.3125,"E_3","loglikhood"
"27",20,100,0.1692,"V31",0.0742857142857143,0.126315789473684,0.266666666666667,"E_3","loglikhood"
"28",20,100,0.1692,"V32",0.135294117647059,0.205263157894737,0.2,"E_3","loglikhood"
"29",20,100,0.1692,"V33",0.102272727272727,0.152631578947368,0.214285714285714,"E_3","loglikhood"
"30",20,100,0.1692,"V34",0.0930232558139535,0.152631578947368,0.277777777777778,"E_3","loglikhood"
"31",20,100,0.1692,"V35",0.0994152046783626,0.168421052631579,0.210526315789474,"E_3","loglikhood"
"32",20,100,0.1692,"V36",0.0862068965517241,0.163157894736842,0,"E_3","loglikhood"
"33",20,100,0.1692,"V37",0.0705882352941176,0.157894736842105,0.1,"E_3","loglikhood"
"34",20,100,0.1692,"V38",0.0804597701149425,0.147368421052632,0.125,"E_3","loglikhood"
"35",20,100,0.1692,"V39",0.1,0.147368421052632,0.45,"E_3","loglikhood"
"36",20,100,0.1692,"V40",0.0760233918128655,0.152631578947368,0.157894736842105,"E_3","loglikhood"
"37",20,100,0.1692,"V41",0.096045197740113,0.131578947368421,0.384615384615385,"E_3","loglikhood"
"38",20,100,0.1692,"V42",0.0747126436781609,0.131578947368421,0.25,"E_3","loglikhood"
"39",20,100,0.1692,"V43",0.0882352941176471,0.163157894736842,0.2,"E_3","loglikhood"
"40",20,100,0.1692,"V44",0.109195402298851,0.173684210526316,0.125,"E_3","loglikhood"
"41",20,100,0.1692,"V45",0.11046511627907,0.163157894736842,0.333333333333333,"E_3","loglikhood"
"42",20,100,0.1692,"V46",0.0946745562130177,0.173684210526316,0.19047619047619,"E_3","loglikhood"
"43",20,100,0.1692,"V47",0.0965909090909091,0.152631578947368,0.142857142857143,"E_3","loglikhood"
"44",20,100,0.1692,"V48",0.0833333333333333,0.178947368421053,0.0909090909090909,"E_3","loglikhood"
"45",20,100,0.1692,"V49",0.0809248554913295,0.147368421052632,0.176470588235294,"E_3","loglikhood"
"46",20,100,0.1692,"V50",0.105882352941176,0.184210526315789,0.15,"E_3","loglikhood"
"47",20,100,0.1692,"V51",0.109195402298851,0.178947368421053,0.0625,"E_3","loglikhood"
"48",20,100,0.1692,"V52",0.0858895705521472,0.210526315789474,0.037037037037037,"E_3","loglikhood"
"49",20,100,0.1692,"V53",0.063953488372093,0.152631578947368,0,"E_3","loglikhood"
"50",20,100,0.1692,"V54",0.0787878787878788,0.173684210526316,0.2,"E_3","loglikhood"
"51",20,1000,0.0415,"V5",0.228571428571429,0.221052631578947,0.866666666666667,"E_3","loglikhood"
"52",20,1000,0.0415,"V6",0.205714285714286,0.2,0.866666666666667,"E_3","loglikhood"
"53",20,1000,0.0415,"V7",0.187134502923977,0.173684210526316,0.947368421052632,"E_3","loglikhood"
"54",20,1000,0.0415,"V8",0.227272727272727,0.215789473684211,0.928571428571429,"E_3","loglikhood"
"55",20,1000,0.0415,"V9",0.220858895705521,0.2,0.925925925925926,"E_3","loglikhood"
"56",20,1000,0.0415,"V10",0.196319018404908,0.184210526315789,0.888888888888889,"E_3","loglikhood"
"57",20,1000,0.0415,"V11",0.217647058823529,0.2,0.95,"E_3","loglikhood"
"58",20,1000,0.0415,"V12",0.201183431952663,0.2,0.80952380952381,"E_3","loglikhood"
"59",20,1000,0.0415,"V13",0.215568862275449,0.2,0.91304347826087,"E_3","loglikhood"
