"","TPR","FPR","method","Estimated_E","p","n"
"1",1,0.164916201117318,"rmse","E_1",100,10000
"2",1,0.173085535154501,"rmse","E_1",100,10000
"3",1,0.191987395903669,"rmse","E_1",100,10000
"4",1,0.204657411553963,"rmse","E_1",100,10000
"5",1,0.192281803903971,"rmse","E_1",100,10000
"6",1,0.193455031166518,"rmse","E_1",100,10000
"7",1,0.202892001807501,"rmse","E_1",100,10000
"8",1,0.152572706935123,"rmse","E_1",100,10000
"9",1,0.200089827082865,"rmse","E_1",100,10000
"10",1,0.15841362312346,"rmse","E_1",100,10000
"11",1,0.194526125311016,"rmse","E_1",100,10000
"12",1,0.224802705749718,"rmse","E_1",100,10000
"13",1,0.203637180062865,"rmse","E_1",100,10000
"14",1,0.198106828938472,"rmse","E_1",100,10000
"15",1,0.190390660080826,"rmse","E_1",100,10000
"16",1,0.198877665544332,"rmse","E_1",100,10000
"17",1,0.168425780372782,"rmse","E_1",100,10000
"18",1,0.183828456555729,"rmse","E_1",100,10000
"19",1,0.180676978255996,"rmse","E_1",100,10000
"20",1,0.213788457219852,"rmse","E_1",100,10000
"21",1,0.199102132435466,"rmse","E_1",100,10000
"22",1,0.186285459012732,"rmse","E_1",100,10000
"23",1,0.190529875986471,"rmse","E_1",100,10000
"24",1,0.21335723890632,"rmse","E_1",100,10000
"25",1,0.189080331170284,"rmse","E_1",100,10000
"26",1,0.205122393472348,"rmse","E_1",100,10000
"27",1,0.227677551952501,"rmse","E_1",100,10000
"28",1,0.192811934900542,"rmse","E_1",100,10000
"29",1,0.174522009782125,"rmse","E_1",100,10000
"30",1,0.18076062639821,"rmse","E_1",100,10000
"31",1,0.188169642857143,"rmse","E_1",100,10000
"32",1,0.213559322033898,"rmse","E_1",100,10000
"33",1,0.154957759004002,"rmse","E_1",100,10000
"34",1,0.229372197309417,"rmse","E_1",100,10000
"35",1,0.170866489832007,"rmse","E_1",100,10000
"36",1,0.191987395903669,"rmse","E_1",100,10000
"37",1,0.21039603960396,"rmse","E_1",100,10000
"38",1,0.158943362435639,"rmse","E_1",100,10000
"39",1,0.219452481638104,"rmse","E_1",100,10000
"40",1,0.195461694001348,"rmse","E_1",100,10000
"41",1,0.191657271702368,"rmse","E_1",100,10000
"42",1,0.210821733273462,"rmse","E_1",100,10000
"43",1,0.172668306866473,"rmse","E_1",100,10000
"44",1,0.207669881139269,"rmse","E_1",100,10000
"45",1,0.18897108271688,"rmse","E_1",100,10000
"46",1,0.190657130084935,"rmse","E_1",100,10000
"47",1,0.211637834194563,"rmse","E_1",100,10000
"48",1,0.215911652017129,"rmse","E_1",100,10000
"49",1,0.209333632488221,"rmse","E_1",100,10000
"50",1,0.195034667859539,"rmse","E_1",100,10000
"51",1,0.237541899441341,"cv_min","E_1",100,10000
"52",1,0.251007613076579,"cv_min","E_1",100,10000
"53",1,0.256358316452847,"cv_min","E_1",100,10000
"54",1,0.250783699059561,"cv_min","E_1",100,10000
"55",1,0.245007852815795,"cv_min","E_1",100,10000
"56",1,0.243766696349065,"cv_min","E_1",100,10000
"57",1,0.263443289652056,"cv_min","E_1",100,10000
"58",1,0.248545861297539,"cv_min","E_1",100,10000
"59",1,0.26633730069616,"cv_min","E_1",100,10000
"60",1,0.242213757562178,"cv_min","E_1",100,10000
"61",1,0.256955439945714,"cv_min","E_1",100,10000
"62",1,0.27869222096956,"cv_min","E_1",100,10000
