"","TPR","FPR","MCE","method","Estimated_E","p","n"
"1",1,0.116456834532374,0.104646464646465,"rmse","E_1",100,10000
"2",1,0.118171683389075,0.107070707070707,"rmse","E_1",100,10000
"3",1,0.139425235743152,0.125454545454545,"rmse","E_1",100,10000
"4",1,0.133902493821613,0.12040404040404,"rmse","E_1",100,10000
"5",1,0.135783105534394,0.122424242424242,"rmse","E_1",100,10000
"6",1,0.134506883322049,0.12040404040404,"rmse","E_1",100,10000
"7",1,0.12751677852349,0.115151515151515,"rmse","E_1",100,10000
"8",1,0.144105782160466,0.12989898989899,"rmse","E_1",100,10000
"9",1,0.155230596175478,0.139393939393939,"rmse","E_1",100,10000
"10",1,0.13449508489723,0.121616161616162,"rmse","E_1",100,10000
"11",1,0.145106861642295,0.13030303030303,"rmse","E_1",100,10000
"12",1,0.124944021495746,0.112727272727273,"rmse","E_1",100,10000
"13",1,0.12396323694239,0.111717171717172,"rmse","E_1",100,10000
"14",1,0.143082114735658,0.128484848484848,"rmse","E_1",100,10000
"15",1,0.148338166406424,0.134343434343434,"rmse","E_1",100,10000
"16",1,0.15205202960305,0.136969696969697,"rmse","E_1",100,10000
"17",1,0.145561063542136,0.130505050505051,"rmse","E_1",100,10000
"18",1,0.147191011235955,0.132323232323232,"rmse","E_1",100,10000
"19",1,0.123630672926448,0.111717171717172,"rmse","E_1",100,10000
"20",1,0.141543292956483,0.127474747474747,"rmse","E_1",100,10000
"21",1,0.106639839034205,0.0963636363636364,"rmse","E_1",100,10000
"22",1,0.143210431654676,0.128686868686869,"rmse","E_1",100,10000
"23",1,0.139732142857143,0.126464646464646,"rmse","E_1",100,10000
"24",1,0.15251182698806,0.136767676767677,"rmse","E_1",100,10000
"25",1,0.121455682071891,0.10989898989899,"rmse","E_1",100,10000
"26",1,0.148139847601972,0.133535353535354,"rmse","E_1",100,10000
"27",1,0.142405063291139,0.127272727272727,"rmse","E_1",100,10000
"28",1,0.14987659860893,0.134949494949495,"rmse","E_1",100,10000
"29",1,0.148148148148148,0.133333333333333,"rmse","E_1",100,10000
"30",1,0.156058890147225,0.139191919191919,"rmse","E_1",100,10000
"31",1,0.121781956570405,0.10989898989899,"rmse","E_1",100,10000
"32",1,0.145364536453645,0.130505050505051,"rmse","E_1",100,10000
"33",1,0.109438202247191,0.0983838383838384,"rmse","E_1",100,10000
"34",1,0.130901767733274,0.118181818181818,"rmse","E_1",100,10000
"35",1,0.141255605381166,0.127272727272727,"rmse","E_1",100,10000
"36",1,0.124139462580502,0.112929292929293,"rmse","E_1",100,10000
"37",1,0.143369979807045,0.129090909090909,"rmse","E_1",100,10000
"38",1,0.140417883621658,0.126262626262626,"rmse","E_1",100,10000
"39",1,0.146826293200813,0.131313131313131,"rmse","E_1",100,10000
"40",1,0.134952766531714,0.121212121212121,"rmse","E_1",100,10000
"41",1,0.141343552750225,0.126666666666667,"rmse","E_1",100,10000
"42",1,0.133810695905124,0.120808080808081,"rmse","E_1",100,10000
"43",1,0.116591928251121,0.105050505050505,"rmse","E_1",100,10000
"44",1,0.131074453856442,0.118787878787879,"rmse","E_1",100,10000
"45",1,0.118175690855987,0.106262626262626,"rmse","E_1",100,10000
"46",1,0.13609865470852,0.122626262626263,"rmse","E_1",100,10000
"47",1,0.134039198017572,0.12020202020202,"rmse","E_1",100,10000
"48",1,0.154576271186441,0.138181818181818,"rmse","E_1",100,10000
"49",1,0.144871503297703,0.128686868686869,"rmse","E_1",100,10000
"50",1,0.12161860049184,0.10989898989899,"rmse","E_1",100,10000
"51",1,0.158498201438849,0.142424242424242,"cv_min","E_1",100,10000
"52",1,0.182608695652174,0.165454545454545,"cv_min","E_1",100,10000
"53",1,0.182532555006736,0.164242424242424,"cv_min","E_1",100,10000
"54",1,0.182880251628847,0.164444444444444,"cv_min","E_1",100,10000
"55",1,0.200313690342819,0.180606060606061,"cv_min","E_1",100,10000
"56",1,0.170841796434213,0.152929292929293,"cv_min","E_1",100,10000
"57",1,0.181208053691275,0.163636363636364,"cv_min","E_1",100,10000
"58",1,0.187584043030031,0.169090909090909,"cv_min","E_1",100,10000
"59",1,0.184701912260967,0.165858585858586,"cv_min","E_1",100,10000
"60",1,0.194146559428061,0.175555555555556,"cv_min","E_1",100,10000
"61",1,0.203599550056243,0.182828282828283,"cv_min","E_1",100,10000
"62",1,0.184057321988356,0.166060606060606,"cv_min","E_1",100,10000
"63",1,0.180452813270567,0.162626262626263,"cv_min","E_1",100,10000
"64",1,0.194150731158605,0.174343434343434,"cv_min","E_1",100,10000
"65",1,0.19875083649342,0.18,"cv_min","E_1",100,10000
"66",1,0.21305225386858,0.191919191919192,"cv_min","E_1",100,10000
"67",1,0.19603424966201,0.175757575757576,"cv_min","E_1",100,10000
"68",1,0.208314606741573,0.187272727272727,"cv_min","E_1",100,10000
"69",1,0.163201430807065,0.147474747474747,"cv_min","E_1",100,10000
"70",1,0.20233288470166,0.182222222222222,"cv_min","E_1",100,10000
"71",1,0.184216409568522,0.166464646464646,"cv_min","E_1",100,10000
"72",1,0.196267985611511,0.176363636363636,"cv_min","E_1",100,10000
"73",1,0.191741071428571,0.173535353535354,"cv_min","E_1",100,10000
"74",1,0.200045055192611,0.179393939393939,"cv_min","E_1",100,10000
"75",1,0.167894619334673,0.151919191919192,"cv_min","E_1",100,10000
"76",1,0.18646346929628,0.168080808080808,"cv_min","E_1",100,10000
"77",1,0.202305605786618,0.180808080808081,"cv_min","E_1",100,10000
"78",1,0.199461521202603,0.17959595959596,"cv_min","E_1",100,10000
"79",1,0.184511784511785,0.166060606060606,"cv_min","E_1",100,10000
"80",1,0.200226500566251,0.178585858585859,"cv_min","E_1",100,10000
"81",1,0.173718379225431,0.156767676767677,"cv_min","E_1",100,10000
"82",1,0.206570657065707,0.185454545454545,"cv_min","E_1",100,10000
"83",1,0.177303370786517,0.159393939393939,"cv_min","E_1",100,10000
"84",1,0.174535690311032,0.157575757575758,"cv_min","E_1",100,10000
"85",1,0.175336322869955,0.157979797979798,"cv_min","E_1",100,10000
"86",1,0.163446591161448,0.148686868686869,"cv_min","E_1",100,10000
"87",1,0.177473636975544,0.15979797979798,"cv_min","E_1",100,10000
"88",1,0.178836216580544,0.160808080808081,"cv_min","E_1",100,10000
"89",1,0.190648294556133,0.17050505050505,"cv_min","E_1",100,10000
"90",1,0.188034188034188,0.168888888888889,"cv_min","E_1",100,10000
"91",1,0.20175834084761,0.180808080808081,"cv_min","E_1",100,10000
"92",1,0.171850525844708,0.155151515151515,"cv_min","E_1",100,10000
"93",1,0.173766816143498,0.156565656565657,"cv_min","E_1",100,10000
"94",1,0.196611680784663,0.178181818181818,"cv_min","E_1",100,10000
"95",1,0.15884070995282,0.142828282828283,"cv_min","E_1",100,10000
"96",1,0.19237668161435,0.173333333333333,"cv_min","E_1",100,10000
"97",1,0.19621536382068,0.175959595959596,"cv_min","E_1",100,10000
"98",1,0.187570621468927,0.167676767676768,"cv_min","E_1",100,10000
"99",1,0.194223334091426,0.172525252525253,"cv_min","E_1",100,10000
"100",1,0.173261792980103,0.156565656565657,"cv_min","E_1",100,10000
"101",1,0,0,"cv1se","E_1",100,10000
"102",1,0,0,"cv1se","E_1",100,10000
"103",1,0.000449034575662326,0.000404040404040404,"cv1se","E_1",100,10000
"104",1,0.000449337227589306,0.000404040404040404,"cv1se","E_1",100,10000
"105",1,0.000224064530584808,0.000202020202020202,"cv1se","E_1",100,10000
"106",1,0.000225682690137666,0.000202020202020202,"cv1se","E_1",100,10000
"107",1,0,0,"cv1se","E_1",100,10000
"108",1,0.000224114746750336,0.000202020202020202,"cv1se","E_1",100,10000
"109",1,0,0,"cv1se","E_1",100,10000
"110",1,0,0,"cv1se","E_1",100,10000
"111",1,0.000224971878515186,0.000202020202020202,"cv1se","E_1",100,10000
"112",1,0.000223914017017465,0.000202020202020202,"cv1se","E_1",100,10000
"113",1,0.000224164985429276,0.000202020202020202,"cv1se","E_1",100,10000
"114",1,0,0,"cv1se","E_1",100,10000
"115",1,0,0,"cv1se","E_1",100,10000
"116",1,0.000224265530387979,0.000202020202020202,"cv1se","E_1",100,10000
"117",1,0,0,"cv1se","E_1",100,10000
"118",1,0,0,"cv1se","E_1",100,10000
"119",1,0,0,"cv1se","E_1",100,10000
"120",1,0.000224315836698071,0.000202020202020202,"cv1se","E_1",100,10000
"121",1,0,0,"cv1se","E_1",100,10000
"122",1,0,0,"cv1se","E_1",100,10000
"123",1,0,0,"cv1se","E_1",100,10000
"124",1,0,0,"cv1se","E_1",100,10000
"125",1,0,0,"cv1se","E_1",100,10000
"126",1,0.000224114746750336,0.000202020202020202,"cv1se","E_1",100,10000
"127",1,0.000452079566003617,0.000404040404040404,"cv1se","E_1",100,10000
"128",1,0.00044873233116446,0.000404040404040404,"cv1se","E_1",100,10000
"129",1,0,0,"cv1se","E_1",100,10000
"130",1,0.000226500566251416,0.000202020202020202,"cv1se","E_1",100,10000
"131",1,0.000223863890754421,0.000202020202020202,"cv1se","E_1",100,10000
"132",1,0.000225022502250225,0.000202020202020202,"cv1se","E_1",100,10000
"133",1,0.000449438202247191,0.000404040404040404,"cv1se","E_1",100,10000
"134",1,0,0,"cv1se","E_1",100,10000
"135",1,0.000224215246636771,0.000202020202020202,"cv1se","E_1",100,10000
"136",1,0,0,"cv1se","E_1",100,10000
"137",1,0.00044873233116446,0.000404040404040404,"cv1se","E_1",100,10000
"138",1,0,0,"cv1se","E_1",100,10000
"139",1,0.000225886604924328,0.000202020202020202,"cv1se","E_1",100,10000
"140",1,0,0,"cv1se","E_1",100,10000
"141",1,0.000225428313796213,0.000202020202020202,"cv1se","E_1",100,10000
"142",1,0.000223763705526964,0.000202020202020202,"cv1se","E_1",100,10000
"143",1,0,0,"cv1se","E_1",100,10000
"144",1,0,0,"cv1se","E_1",100,10000
"145",1,0,0,"cv1se","E_1",100,10000
"146",1,0,0,"cv1se","E_1",100,10000
"147",1,0,0,"cv1se","E_1",100,10000
"148",1,0.000225988700564972,0.000202020202020202,"cv1se","E_1",100,10000
"149",1,0,0,"cv1se","E_1",100,10000
"150",1,0,0,"cv1se","E_1",100,10000
"151",1,0.175134892086331,0.157373737373737,"rmse","E_2",100,10000
"152",1,0.176588628762542,0.16,"rmse","E_2",100,10000
"153",1,0.202963628199371,0.182626262626263,"rmse","E_2",100,10000
"154",1,0.20377443271175,0.183232323232323,"rmse","E_2",100,10000
"155",1,0.189558592874748,0.170909090909091,"rmse","E_2",100,10000
"156",1,0.195892575039494,0.175353535353535,"rmse","E_2",100,10000
"157",1,0.192170022371365,0.173535353535354,"rmse","E_2",100,10000
"158",1,0.201255042581802,0.181414141414141,"rmse","E_2",100,10000
"159",1,0.223172103487064,0.20040404040404,"rmse","E_2",100,10000
"160",1,0.195487042001787,0.176767676767677,"rmse","E_2",100,10000
"161",1,0.207649043869516,0.186464646464646,"rmse","E_2",100,10000
"162",1,0.17756381549485,0.16020202020202,"rmse","E_2",100,10000
"163",1,0.18583277292087,0.167474747474747,"rmse","E_2",100,10000
"164",1,0.194150731158605,0.174343434343434,"rmse","E_2",100,10000
"165",1,0.206111978585768,0.186666666666667,"rmse","E_2",100,10000
"166",1,0.210136801973537,0.189292929292929,"rmse","E_2",100,10000
"167",1,0.209328526363227,0.187676767676768,"rmse","E_2",100,10000
"168",1,0.210561797752809,0.189292929292929,"rmse","E_2",100,10000
"169",1,0.183322155153141,0.165656565656566,"rmse","E_2",100,10000
"170",1,0.202557200538358,0.182424242424242,"rmse","E_2",100,10000
"171",1,0.160742231164766,0.145252525252525,"rmse","E_2",100,10000
"172",1,0.212455035971223,0.190909090909091,"rmse","E_2",100,10000
"173",1,0.199107142857143,0.18020202020202,"rmse","E_2",100,10000
"174",1,0.222572651498085,0.19959595959596,"rmse","E_2",100,10000
"175",1,0.172806430006698,0.156363636363636,"rmse","E_2",100,10000
"176",1,0.212684894666069,0.191717171717172,"rmse","E_2",100,10000
"177",1,0.201853526220615,0.18040404040404,"rmse","E_2",100,10000
"178",1,0.216737715952434,0.195151515151515,"rmse","E_2",100,10000
"179",1,0.204264870931538,0.183838383838384,"rmse","E_2",100,10000
"180",1,0.224915062287656,0.200606060606061,"rmse","E_2",100,10000
"181",1,0.178867248712783,0.161414141414141,"rmse","E_2",100,10000
"182",1,0.207020702070207,0.185858585858586,"rmse","E_2",100,10000
"183",1,0.173258426966292,0.155757575757576,"rmse","E_2",100,10000
"184",1,0.184828820765272,0.166868686868687,"rmse","E_2",100,10000
"185",1,0.201569506726457,0.181616161616162,"rmse","E_2",100,10000
"186",1,0.178103486564513,0.162020202020202,"rmse","E_2",100,10000
"187",1,0.210455463316132,0.189494949494949,"rmse","E_2",100,10000
"188",1,0.206695124691081,0.185858585858586,"rmse","E_2",100,10000
"189",1,0.204427377456517,0.182828282828283,"rmse","E_2",100,10000
"190",1,0.205578047683311,0.184646464646465,"rmse","E_2",100,10000
"191",1,0.202209197475203,0.181212121212121,"rmse","E_2",100,10000
"192",1,0.190646677108973,0.172121212121212,"rmse","E_2",100,10000
"193",1,0.176008968609865,0.158585858585859,"rmse","E_2",100,10000
"194",1,0.186580472581364,0.169090909090909,"rmse","E_2",100,10000
"195",1,0.169849472028758,0.152727272727273,"rmse","E_2",100,10000
"196",1,0.196188340807175,0.176767676767677,"rmse","E_2",100,10000
"197",1,0.198242847488173,0.177777777777778,"rmse","E_2",100,10000
"198",1,0.227570621468927,0.203434343434343,"rmse","E_2",100,10000
"199",1,0.211280418467137,0.187676767676768,"rmse","E_2",100,10000
"200",1,0.178180192264699,0.161010101010101,"rmse","E_2",100,10000
"201",1,0.22931654676259,0.206060606060606,"cv_min","E_2",100,10000
"202",1,0.249498327759197,0.226060606060606,"cv_min","E_2",100,10000
"203",1,0.254602604400539,0.229090909090909,"cv_min","E_2",100,10000
"204",1,0.253875533587958,0.228282828282828,"cv_min","E_2",100,10000
"205",1,0.269997759354694,0.243434343434343,"cv_min","E_2",100,10000
"206",1,0.241254795757165,0.215959595959596,"cv_min","E_2",100,10000
"207",1,0.259060402684564,0.233939393939394,"cv_min","E_2",100,10000
"208",1,0.256163155535634,0.230909090909091,"cv_min","E_2",100,10000
"209",1,0.253768278965129,0.227878787878788,"cv_min","E_2",100,10000
"210",1,0.262064343163539,0.236969696969697,"cv_min","E_2",100,10000
"211",1,0.279640044994376,0.251111111111111,"cv_min","E_2",100,10000
"212",1,0.256829377519033,0.231717171717172,"cv_min","E_2",100,10000
"213",1,0.245684824030486,0.221414141414141,"cv_min","E_2",100,10000
"214",1,0.26119235095613,0.234545454545455,"cv_min","E_2",100,10000
"215",1,0.268570153914789,0.243232323232323,"cv_min","E_2",100,10000
"216",1,0.282574568288854,0.254545454545455,"cv_min","E_2",100,10000
"217",1,0.26385759351059,0.236565656565657,"cv_min","E_2",100,10000
"218",1,0.288089887640449,0.258989898989899,"cv_min","E_2",100,10000
"219",1,0.23228258439526,0.20989898989899,"cv_min","E_2",100,10000
"220",1,0.275908479138627,0.248484848484848,"cv_min","E_2",100,10000
"221",1,0.250391236306729,0.226262626262626,"cv_min","E_2",100,10000
"222",1,0.273606115107914,0.245858585858586,"cv_min","E_2",100,10000
"223",1,0.259151785714286,0.234545454545455,"cv_min","E_2",100,10000
"224",1,0.283397161522866,0.254141414141414,"cv_min","E_2",100,10000
"225",1,0.235543648135745,0.213131313131313,"cv_min","E_2",100,10000
"226",1,0.264455401165397,0.238383838383838,"cv_min","E_2",100,10000
"227",1,0.27124773960217,0.242424242424242,"cv_min","E_2",100,10000
"228",1,0.27462418667265,0.247272727272727,"cv_min","E_2",100,10000
"229",1,0.25679012345679,0.231111111111111,"cv_min","E_2",100,10000
"230",1,0.275877689694224,0.246060606060606,"cv_min","E_2",100,10000
"231",1,0.238638907544213,0.215353535353535,"cv_min","E_2",100,10000
"232",1,0.278577857785779,0.25010101010101,"cv_min","E_2",100,10000
"233",1,0.251460674157303,0.226060606060606,"cv_min","E_2",100,10000
"234",1,0.241888565674648,0.218383838383838,"cv_min","E_2",100,10000
"235",1,0.245515695067265,0.221212121212121,"cv_min","E_2",100,10000
"236",1,0.223628691983122,0.203434343434343,"cv_min","E_2",100,10000
"237",1,0.253982499439085,0.228686868686869,"cv_min","E_2",100,10000
"238",1,0.254549539429342,0.228888888888889,"cv_min","E_2",100,10000
"239",1,0.262480234922069,0.234747474747475,"cv_min","E_2",100,10000
"240",1,0.257085020242915,0.230909090909091,"cv_min","E_2",100,10000
"241",1,0.278178539224527,0.249292929292929,"cv_min","E_2",100,10000
"242",1,0.240322219735959,0.216969696969697,"cv_min","E_2",100,10000
"243",1,0.248206278026906,0.223636363636364,"cv_min","E_2",100,10000
"244",1,0.263040570664289,0.238383838383838,"cv_min","E_2",100,10000
"245",1,0.221747921815322,0.199393939393939,"cv_min","E_2",100,10000
"246",1,0.2652466367713,0.238989898989899,"cv_min","E_2",100,10000
"247",1,0.273935571074566,0.245656565656566,"cv_min","E_2",100,10000
"248",1,0.265536723163842,0.237373737373737,"cv_min","E_2",100,10000
"249",1,0.274732772344781,0.244040404040404,"cv_min","E_2",100,10000
"250",1,0.237871674491393,0.214949494949495,"cv_min","E_2",100,10000
"251",1,0,0,"cv1se","E_2",100,10000
"252",1,0,0,"cv1se","E_2",100,10000
"253",1,0.000673551863493489,0.000606060606060606,"cv1se","E_2",100,10000
"254",1,0.000674005841383959,0.000606060606060606,"cv1se","E_2",100,10000
"255",1,0.000224064530584808,0.000202020202020202,"cv1se","E_2",100,10000
"256",1,0.000225682690137666,0.000202020202020202,"cv1se","E_2",100,10000
"257",1,0.000223713646532438,0.000202020202020202,"cv1se","E_2",100,10000
"258",1,0.000224114746750336,0.000202020202020202,"cv1se","E_2",100,10000
"259",1,0,0,"cv1se","E_2",100,10000
"260",1,0.000223413762287757,0.000202020202020202,"cv1se","E_2",100,10000
